Spaxid, N2 flux, N2 S/N, Ha flux, Ha S/N, Hb flux, Hb S/N, O3 flux, O3 S/N, S2 6717 flux, S2 6717 S/N, S2 6731 flux, S2 6731 S/N, Ha EW, AGN Flag 
587725980155183238_39_43,0.121592,12.78607841,0.358265,48.88515028,0.125707,9.255132162,0.031596,2.199714289,0.0725546,10.02780885,0.0591556,7.588788714,10.677, S06_SF 
587725980155183238_40_43,0.1161,9.567421368,0.373843,45.38047348,0.131173,5.902425998,0.0508855,2.689418818,0.0699725,6.982554743,0.0620233,6.77287756,11.9059, S06_SF 
587725980155183238_41_43,0.160724,9.906427551,0.57495,28.67498762,0.201737,4.860081198,0.132993,3.832321131,0.106297,9.054757939,0.0874458,6.564572891,14.4413, S06_SF 
587725980155183238_42_43,0.120086,8.231566684,0.498042,27.25988738,0.174752,5.518321593,0.139796,8.115174108,0.0924463,9.028283642,0.0722682,6.238548975,19.0454, S06_SF 
587725980155183238_43_43,0.142114,10.57609994,0.462742,25.67183739,0.162366,4.605361713,0.17103,6.261591952,0.0956667,9.726610949,0.0797637,7.280374059,18.2415, S06_SF 
587725980155183238_44_43,0.0226841,6.876311627,0.0752022,19.35040114,0.0263867,4.938447655,0.0205129,4.510980689,0.0294685,10.62076089,0.0189419,5.851897944,19.9036, S06_SF 
587725980155183238_45_43,0.00555175,4.512317596,0.0146343,7.922699819,0.00513484,4.483570732,0.00348191,3.568355959,0.00584729,4.619905965, nan,-0.156238896,12.5858, K03_SF 
587725980155183238_46_43,0.00203161,3.824734796,0.00401926,5.141050048,0.00141027,4.430001443,0.00118477,3.564221818,0.00173985,2.80229602, nan,-0.708880348,8.88925, K01_SF 
587725980155183238_47_43,0.000966399,2.751209653,0.00214479,4.258006176,0.000752559,3.569760531,0.000593117,3.548295188,0.00108333,2.744281419,0.000372173,1.100106207,7.31846, K01_SF 
587725980155183238_48_43,0.000490521,1.299414117,0.00127419,4.238778782,0.000447086,3.122196584,0.000389229,3.202921017,0.000905069,3.114882667,0.000874343,3.296777873,10.1319, K03_SF 
587725980155183238_15_44,0.00890416,3.26279216,0.0149235,4.535685897,0.00523632,1.587299501,0.00713783,3.028958418,0.0101006,3.606038447,0.0047069,1.867389944,66.9587, K01_SF 
587725980155183238_16_44,0.0180184,2.675410041,0.0555078,7.714128089,0.0194764,2.24574627,0.0395875,4.610508168,0.0289559,5.245750357,0.0184884,3.97963571,66.9194, K01_SF 
587725980155183238_17_44,0.0137388,3.912728927,0.0489124,11.03824536,0.0171623,4.802979591,0.0295677,10.08567318,0.0229253,9.547294211,0.0179794,5.595330499,117.923, K03_SF 
587725980155183238_18_44,0.0190822,7.749769859,0.0566755,19.08752651,0.0198861,11.21968508,0.0378056,18.48298477,0.0270076,14.45676076,0.0216325,9.868540753,193.362, K01_SF 
587725980155183238_19_44,0.0239444,6.900507835,0.0930718,25.69132455,0.0326568,11.25740925,0.0570245,16.69724992,0.0218589,10.82625303,0.0155912,6.264998555,55.7199, K03_SF 
587725980155183238_20_44,0.0262929,8.021448559,0.122794,37.59722942,0.0430855,15.13518239,0.0859805,19.04406759,0.0290439,15.81632671,0.0210009,10.68421773,52.4018, S06_SF 
587725980155183238_21_44,0.0445609,11.72229724,0.216253,68.78520741,0.0758781,25.04932906,0.156105,17.77814333,0.0439324,19.20272867,0.0300416,14.06360723,52.4456, S06_SF 
587725980155183238_22_44,0.071202,13.74042322,0.302221,77.80572158,0.106043,24.50351679,0.212591,18.74107339,0.0551091,24.28662071,0.0372601,11.08798453,54.0489, K03_SF 
587725980155183238_23_44,0.0811767,15.22778063,0.336708,73.94257925,0.118143,26.22005234,0.234043,18.98714291,0.0589066,22.17139879,0.0404509,12.84003869,48.2079, K03_SF 
587725980155183238_24_44,0.0953263,15.54539404,0.361599,54.69401395,0.126877,25.79662189,0.25516,19.84378715,0.0666907,17.09379602,0.0464851,14.49557605,40.9916, K03_SF 
587725980155183238_25_44,0.107408,18.02716892,0.37785,59.24486912,0.132579,22.49798761,0.270781,19.85127291,0.0792861,23.33649206,0.0562784,12.67922569,32.1518, K01_SF 
587725980155183238_26_44,0.114445,17.09441365,0.374,56.85719458,0.131228,17.98905888,0.237311,18.48600944,0.0832778,18.9209915,0.0571194,13.95112725,23.1235, K01_SF 
587725980155183238_27_44,0.152705,16.17927738,0.43225,49.5899355,0.151667,15.47926279,0.221733,15.49455983,0.105182,20.00637577,0.0742794,14.847344,18.0777, K01_SF 
587725980155183238_28_44,0.159091,17.33547294,0.439297,37.3434494,0.154139,14.17134253,0.173487,14.01518539,0.105015,23.05126868,0.0693479,10.72519493,15.3824, K03_SF 
587725980155183238_29_44,0.182505,20.14326171,0.440187,48.47593291,0.154452,13.36246907,0.112432,9.843873718,0.10738,19.65483001,0.0639124,13.21660955,14.0467, K03_SF 
